"SampleName","MappedReads","PercentMapped","PercentFiltered","PercentDuplicates","ReadL","FragmentLength","RelativeCrossCoverage","SSD","ReadsInPeaks"
"WT_CS_K27_Rep_1",914900,100,0.327,0,50,183,-785,14.7,33.6
"WT_CS_K27_Rep_2",1080612,100,0.557,0,50,295,7.05,14,27.5
"WT_CS_K27_Rep_3",2315582,100,0.291,0,50,220,-2.16,14.4,21.3
"cac-1_CS_K27_Rep_1",1819893,100,0.372,0,50,190,3.96,18.7,19.4
"cac-1_CS_K27_Rep_2",1292585,100,0.544,0,50,218,10.3,15.5,19.6
"cac-1_CS_K27_Rep_3",2392290,100,0.403,0,50,220,-4.53,23.2,21.2
"cac-2_CS_K27_Rep_1",776385,100,0.403,0,50,185,13.2,12.1,21
"cac-2_CS_K27_Rep_2",800365,100,0.487,0,50,231,-11.3,13.3,21.7
"cac-2_CS_K27_Rep_3",3202313,100,0.394,0,50,259,-3.07,12.7,12.5
"cac-3_CS_K27_Rep_1",156114,100,5.11,0,49,220,3.63,6.86,37.4
"cac-3_CS_K27_Rep_2",1994035,100,0.397,0,50,237,-3.08,9.25,20.4
"cac-3_CS_K27_Rep_3",1294757,100,0.311,0,51,233,-11.8,17.9,44.2
"set-7_CS_K27_Rep_1",1382170,100,0.504,0,51,191,-594,3.07,3.48
"set-7_CS_K27_Rep_2",2075530,100,0.637,0,51,215,-4.13,3.98,0.00549
"set-7_CS_K27_Rep_3",940441,100,0.499,0,51,204,-11.4,3.12,0
"WT_abc_K27_Rep_1",448348,100,0.422,0,50,186,-2.45,5.76,15.6
"WT_abc_K27_Rep_2",2477499,100,0.324,0,50,236,-30,27.6,44.5
"cac-1_abc_K27_Rep_1",1344263,100,0.415,0,50,184,33.9,6.51,10.1
"cac-1_abc_K27_Rep_2",1290153,100,0.447,0,50,300,-7.67,18.2,31.5
"cac-2_abc_K27_Rep_1",524228,100,0.6,0,50,197,-2.37,6.7,14.9
"cac-2_abc_K27_Rep_2",1570226,100,0.427,0,50,165,8.46,17.3,22.2
"cac-3_abc_K27_Rep_1",1540438,100,0.413,0,50,189,-2.09,8.92,16.1
"cac-3_abc_K27_Rep_2",309795,100,0.4,0,50,173,-3.23,6.31,31.7
"set-7_abc_K27_Rep_1",2166888,100,0.518,0,51,187,38.7,4.34,0.0192
"set-7_abc_K27_Rep_2",1959708,100,0.557,0,50,198,-11.1,3.52,0
"WT_K4me2_Rep_1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"WT_K4me2_Rep_2",11539523,100,0.709,0,149,300,1.41,93.8,53.1
"cac-1_K4me2_Rep_1",11860620,100,0.903,0,149,300,1.86,93.1,54.2
